FID_ID,Q,S
2011,174.770429,62.985780
2075,159.259501,158.609136
2150,147.371128,242.125366
2239,178.749794,262.260762
2321,159.861010,316.115913
2439,145.974986,410.221855
2482,152.395229,408.725695
2496,173.279519,379.805451
2517,160.087183,410.533043
2534,169.696567,408.816255
2541,179.054143,361.125297
2542,173.530015,411.105070
3011,30.869442,63.161368
3075,15.070301,158.438521
3150,3.327394,242.139600
3239,34.764538,262.811635
3321,15.817321,316.379278
3439,2.010884,410.018363
3482,8.334063,408.845825
3496,29.308911,379.816960
3517,16.076362,410.627101
3534,25.693262,408.675366
3541,35.070998,361.192916
3542,29.589802,410.877692
4011,282.663084,63.208047
4075,267.142413,158.376456
4150,255.378315,241.773100
4239,286.795975,262.879858
4321,267.833570,316.158322
4439,253.975979,410.360090
4482,260.379911,408.967184
4496,281.278394,379.715907
4517,268.029599,410.575313
4532,274.737466,410.777724
4533,276.188091,409.545875
4534,277.647527,408.818086
4541,287.083584,360.955172
4542,281.588814,411.307118
5011,318.776209,63.377246
5075,303.191063,158.946385
5150,291.407084,242.431433
5239,322.827551,262.462798
5321,303.919667,316.622172
5439,289.997019,410.183581
5482,296.396004,409.273745
5496,317.297365,380.011409
5517,304.111422,410.379005
5533,313.640028,408.895908
5534,312.238789,409.482948
5541,323.146793,361.698987
5542,317.554773,410.982254
6011,354.895467,62.809972
6075,339.100082,158.590624
6150,327.421999,242.142230
6239,358.800046,262.325129
6321,339.895264,316.620628
6439,326.043956,410.213319
6482,332.338250,408.942803
6496,353.290034,379.620538
6517,340.085176,410.647499
6534,349.643196,408.696019
6541,359.068782,361.657671
6542,353.548922,411.295377
7011,210.838529,63.467695
7075,195.197566,158.918061
7150,183.397092,241.953038
7239,214.843617,262.544538
7321,195.837694,316.690582
7439,182.000502,410.609781
7482,188.357447,408.894037
7496,209.298843,379.907674
7517,196.069612,410.415541
7534,205.628673,408.557744
7541,215.088927,361.527192
7542,209.549774,411.357972
8011,66.651940,63.395201
8075,51.140234,158.683292
8150,39.398084,242.016062
8239,70.782216,262.735723
8321,51.830909,316.352397
8439,37.930122,410.256196
8482,44.366469,409.338646
8496,65.270834,379.635101
8517,52.076600,410.484358
8534,61.598466,408.716685
8541,71.122540,361.443338
8542,65.556742,411.283795
9011,246.689679,63.365720
9075,231.070550,158.562385
9150,219.385802,241.995242
9239,250.773284,262.368418
9321,231.793017,316.460686
9439,217.964523,410.464146
9482,224.374765,409.178199
9496,245.322374,379.583963
9517,232.092107,410.315464
9534,241.668289,408.330654
9541,251.103990,361.463143
9542,245.513098,411.351551
10011,103.206374,63.155577
10075,87.154793,158.380048
10150,75.425021,242.343999
10239,106.792736,262.501227
10321,87.914813,316.240011
10439,74.023844,410.509984
10482,80.385421,408.930855
10496,101.338009,379.805647
10517,88.111846,410.560720
10534,97.679230,408.861496
10541,107.102962,361.678259
10542,101.637500,410.768708
11011,138.819913,62.982546
11075,123.270741,158.550951
11150,111.340919,242.274205
11239,142.811031,262.476270
11321,123.881890,316.631864
11439,109.976064,410.110950
11482,116.402977,409.164918
11496,137.335927,380.063971
11517,124.117763,410.773785
11534,133.701184,408.728714
11541,143.081907,361.528986
11542,137.592020,410.788006
