FID_ID,PIN_ID,XPIX,YPIX
4517,259,3058.352,458.598
4517,515,3048.359,459.566
4517,1027,3053.792,462.491
4517,771,3059.210,465.415
4533,515,2689.633,477.661
4533,1027,2688.578,483.363
4533,259,2694.203,485.773
4533,771,2687.513,489.038
4534,259,2624.458,490.967
4534,771,2630.302,495.221
4534,1027,2624.193,496.748
4534,515,2618.078,498.289
4482,771,3395.421,497.961
4482,1027,3397.540,503.448
4482,259,3391.286,503.637
4542,771,2444.131,507.059
4482,515,3399.672,508.872
4542,1027,2448.432,511.057
4542,259,2442.886,513.885
4542,515,2452.766,515.079
4439,259,3679.972,553.945
4439,515,3671.889,558.951
4439,1027,3678.119,559.367
4439,771,3684.332,559.782
5439,515,2088.312,617.123
5439,1027,2084.528,621.951
5439,259,2088.217,626.430
5439,771,2080.729,626.743
9542,515,4038.036,676.524
4496,515,2496.670,682.514
9542,1027,4037.164,682.266
9542,259,4042.798,685.033
4496,1027,2496.359,688.382
9542,771,4036.308,687.945
4496,259,2502.336,690.142
4496,771,2496.027,694.237
5482,771,1824.802,736.902
5482,259,1819.206,741.907
5482,1027,1825.297,742.732
5482,515,1825.788,748.540
9534,771,4181.857,770.402
9534,1027,4187.220,773.634
9534,259,4182.880,777.441
9534,515,4192.623,776.852
9496,771,3966.634,849.904
4541,771,2290.100,852.714
4541,1027,2296.212,853.926
9496,1027,3971.628,853.754
4541,515,2302.335,855.126
9496,259,3966.618,856.959
9496,515,3976.636,857.606
4541,259,2293.062,859.175
9541,771,3709.692,861.446
9541,1027,3712.597,866.851
9541,259,3706.442,867.739
9541,515,3715.533,872.219
5517,515,1528.293,910.992
5517,1027,1522.231,912.017
5517,771,1516.146,913.016
5517,259,1521.048,917.847
9517,771,4553.358,992.010
9517,259,4548.686,997.051
9517,1027,4554.704,997.893
9517,515,4556.097,1003.767
4321,515,3047.816,1013.668
4321,1027,3044.667,1018.942
4321,259,3049.141,1023.264
4321,771,3041.566,1024.142
5534,771,1234.513,1142.333
5534,1027,1240.300,1143.477
5534,515,1246.132,1144.641
5534,259,1237.076,1148.809
5533,259,1194.258,1186.461
5533,771,1201.313,1187.538
