4517 3058.352 458.598  14.283 259   1.622 pinhole
4517 3048.359 459.566  13.263 515   2.153 pinhole
4517 3053.792 462.491  13.385 1027   1.979 pinhole
4517 3059.210 465.415  13.511 771   2.070 pinhole
4533 2689.633 477.661  13.558 515   2.120 pinhole
4533 2688.578 483.363  13.338 1027   1.933 pinhole
4533 2694.203 485.773  13.312 259   2.281 pinhole
4533 2687.513 489.038  12.793 771   1.979 pinhole
4534 2624.458 490.967  13.527 259   2.096 pinhole
4534 2630.302 495.221  13.580 771   2.307 pinhole
4534 2624.193 496.748  13.218 1027   2.251 pinhole
4534 2618.078 498.289  13.316 515   2.334 pinhole
4482 3395.421 497.961  13.411 771   2.140 pinhole
4482 3397.540 503.448  13.300 1027   2.091 pinhole
4482 3391.286 503.637  13.419 259   2.207 pinhole
4542 2444.131 507.059  12.973 771   2.657 pinhole
4482 3399.672 508.872  13.494 515   2.496 pinhole
4542 2448.432 511.057  13.033 1027   1.915 pinhole
4542 2442.886 513.885  13.327 259   2.267 pinhole
4542 2452.766 515.079  13.053 515   2.254 pinhole
4439 3679.972 553.945  13.378 259   2.374 pinhole
4439 3671.889 558.951  13.286 515   2.297 pinhole
4439 3678.119 559.367  13.058 1027   2.252 pinhole
4439 3684.332 559.782  13.373 771   2.328 pinhole
5439 2088.312 617.123  13.478 515   2.124 pinhole
5439 2084.528 621.951  13.549 1027   1.893 pinhole
5439 2088.217 626.430  13.637 259   1.947 pinhole
5439 2080.729 626.743  13.486 771   2.194 pinhole
9542 4038.036 676.524  13.472 515   2.268 pinhole
4496 2496.670 682.514  13.139 515   2.152 pinhole
9542 4037.164 682.266  13.085 1027   2.359 pinhole
9542 4042.798 685.033  13.258 259   2.652 pinhole
4496 2496.359 688.382  12.781 1027   2.081 pinhole
9542 4036.308 687.945  13.532 771   2.297 pinhole
4496 2502.336 690.142  13.089 259   2.212 pinhole
4496 2496.027 694.237  13.118 771   2.329 pinhole
5482 1824.802 736.902  13.446 771   2.309 pinhole
5482 1819.206 741.907  13.467 259   2.436 pinhole
5482 1825.297 742.732  13.312 1027   2.054 pinhole
5482 1825.788 748.540  13.247 515   2.349 pinhole
9534 4181.857 770.402  13.423 771   2.155 pinhole
9534 4187.220 773.634  13.172 1027   1.947 pinhole
9534 4182.880 777.441  13.434 259   2.045 pinhole
9534 4192.623 776.852  13.164 515   2.390 pinhole
9496 3966.634 849.904  13.680 771   2.089 pinhole
4541 2290.100 852.714  13.120 771   2.361 pinhole
4541 2296.212 853.926  12.881 1027   1.978 pinhole
9496 3971.628 853.754  13.431 1027   2.130 pinhole
4541 2302.335 855.126  12.972 515   2.189 pinhole
9496 3966.618 856.959  13.717 259   2.309 pinhole
9496 3976.636 857.606  13.714 515   2.203 pinhole
4541 2293.062 859.175  13.104 259   2.211 pinhole
9541 3709.692 861.446  13.433 771   2.143 pinhole
9541 3712.597 866.851  13.354 1027   2.004 pinhole
9541 3706.442 867.739  13.467 259   2.444 pinhole
9541 3715.533 872.219  13.650 515   2.269 pinhole
5517 1528.293 910.992  13.470 515   2.318 pinhole
5517 1522.231 912.017  13.053 1027   2.219 pinhole
5517 1516.146 913.016  13.275 771   2.273 pinhole
5517 1521.048 917.847  13.202 259   2.482 pinhole
9517 4553.358 992.010  13.332 771   2.286 pinhole
9517 4548.686 997.051  13.355 259   2.236 pinhole
9517 4554.704 997.893  12.837 1027   2.319 pinhole
9517 4556.097 1003.767  12.997 515   2.577 pinhole
4321 3047.816 1013.668  13.182 515   2.341 pinhole
4321 3044.667 1018.942  12.927 1027   2.033 pinhole
4321 3049.141 1023.264  13.249 259   2.158 pinhole
4321 3041.566 1024.142  13.314 771   2.082 pinhole
5534 1234.513 1142.333  13.073 771   1.990 pinhole
5534 1240.300 1143.477  13.047 1027   2.009 pinhole
5534 1246.132 1144.641  13.206 515   2.086 pinhole
5534 1237.076 1148.809  12.999 259   2.309 pinhole
5533 1194.258 1186.461  13.795 259   2.129 pinhole
5533 1201.313 1187.538  13.615 771   2.018 pinhole
5533 1196.654 1191.781  13.561 1027   2.043 pinhole
5533 1192.016 1196.018  13.554 515   2.296 pinhole
9482 4806.505 1227.859  13.266 259   2.160 pinhole
9482 4814.000 1230.000  13.266 771   0.000 pinhole
9482 4809.305 1233.381  13.104 1027   1.948 pinhole
9482 4805.311 1236.854  12.514 515   4.014 pinhole
5542 1062.746 1302.565  13.146 515   2.202 pinhole
5542 1063.460 1308.469  12.923 1027   1.984 pinhole
5542 1069.371 1308.960  13.124 259   2.189 pinhole
5542 1064.152 1314.406  13.029 771   2.200 pinhole
5321 1842.671 1361.378  13.256 771   2.141 pinhole
5321 1836.885 1366.383  13.353 259   2.080 pinhole
5321 1843.023 1367.480  12.935 1027   2.320 pinhole
5321 1843.381 1373.613  13.465 515   2.160 pinhole
5496 1207.241 1415.612  13.384 771   2.036 pinhole
4239 2481.589 1416.355  13.243 259   2.098 pinhole
4239 2488.092 1420.215  13.015 771   2.184 pinhole
5496 1201.506 1420.546  13.251 259   2.042 pinhole
5496 1207.375 1421.680  13.113 1027   2.030 pinhole
4239 2482.122 1422.539  12.909 1027   2.109 pinhole
4239 2476.124 1424.876  12.974 515   2.452 pinhole
5496 1207.503 1427.780  13.241 515   2.346 pinhole
9239 3533.424 1435.490  13.501 515   1.983 pinhole
9321 4223.442 1437.194  13.298 515   2.545 pinhole
9439 5001.707 1436.772  13.335 515   2.460 pinhole
9239 3528.353 1439.192  12.937 1027   2.312 pinhole
9239 3523.298 1442.902  12.786 771   2.192 pinhole
9321 4221.883 1443.025  13.035 1027   2.562 pinhole
9439 5003.404 1442.728  13.373 1027   2.219 pinhole
9439 5009.340 1443.249  13.332 259   2.666 pinhole
9239 3530.785 1444.989  13.001 259   2.368 pinhole
9321 4227.224 1446.489  13.585 259   2.195 pinhole
9321 4220.294 1448.905  13.528 771   2.196 pinhole
9439 5005.111 1448.704  13.342 771   2.441 pinhole
4150 3373.339 1523.049  12.997 515   2.242 pinhole
4150 3367.074 1524.434  12.779 1027   2.051 pinhole
4150 3360.819 1525.812  12.975 771   2.219 pinhole
4150 3366.767 1530.656  13.082 259   2.390 pinhole
5150 2398.852 1580.510  12.988 259   2.290 pinhole
5150 2406.312 1582.198  12.987 771   2.188 pinhole
5150 2401.288 1586.242  12.919 1027   1.981 pinhole
5150 2396.253 1590.287  13.555 515   2.050 pinhole
6439 828.940 1611.195  13.362 771   2.289 pinhole
6439 834.802 1611.381  13.345 1027   2.034 pinhole
6439 840.679 1611.593  13.507 515   2.153 pinhole
6439 832.533 1617.213  13.547 259   2.092 pinhole
5541 1134.115 1669.938  13.119 771   2.085 pinhole
5541 1138.169 1674.268  12.905 1027   1.845 pinhole
5541 1132.685 1677.292  13.169 259   1.996 pinhole
5541 1142.208 1678.571  13.089 515   2.104 pinhole
7541 4844.413 1709.069  13.488 771   2.614 pinhole
7541 4850.263 1710.760  13.324 1027   2.234 pinhole
7541 4856.168 1712.424  13.722 515   2.352 pinhole
7541 4847.416 1715.997  13.540 259   2.271 pinhole
7542 5222.307 1747.448  13.562 515   2.694 pinhole
7542 5219.979 1752.865  13.414 1027   2.324 pinhole
7542 5224.454 1757.178  13.684 259   2.445 pinhole
7542 5217.611 1758.278  13.709 771   2.329 pinhole
7496 5064.770 1848.487  13.554 515   2.552 pinhole
7496 5073.781 1852.169  13.347 259   2.961 pinhole
6482 694.460 1854.165  13.164 515   2.444 pinhole
7496 5068.231 1853.774  13.318 1027   2.440 pinhole
7496 5071.627 1859.063  13.617 771   2.390 pinhole
6482 695.636 1860.073  13.153 1027   2.255 pinhole
6482 701.484 1860.171  13.342 259   2.401 pinhole
6482 696.813 1866.027  13.240 771   2.303 pinhole
7534 5283.868 1914.913  13.106 771   2.545 pinhole
7534 5289.671 1915.763  12.862 1027   2.238 pinhole
7534 5295.499 1916.603  13.081 515   2.446 pinhole
7534 5287.654 1921.386  13.097 259   2.494 pinhole
4075 3033.071 2005.282  12.722 515   2.037 pinhole
4075 3026.711 2006.789  12.454 1027   1.910 pinhole
4075 3020.388 2008.333  13.078 771   1.749 pinhole
4075 3026.469 2013.238  12.890 259   2.058 pinhole
5239 1627.145 2019.022  12.680 515   2.266 pinhole
5239 1625.252 2025.138  12.693 1027   2.055 pinhole
5239 1630.487 2028.481  13.080 259   2.044 pinhole
5239 1623.383 2031.251  13.211 771   2.055 pinhole
9150 4182.089 2035.559  13.187 771   2.411 pinhole
9150 4185.706 2040.918  12.884 1027   2.118 pinhole
9150 4179.698 2042.729  13.026 259   2.392 pinhole
9150 4189.330 2046.266  13.260 515   2.097 pinhole
7239 4365.908 2060.251  13.174 771   2.671 pinhole
7239 4359.836 2064.551  13.472 259   2.253 pinhole
7239 4365.830 2066.613  13.029 1027   2.356 pinhole
7239 4365.772 2072.991  13.380 515   2.500 pinhole
6517 547.336 2170.090  13.376 771   2.107 pinhole
5075 2410.157 2170.289  13.175 771   2.288 pinhole
6517 550.913 2174.757  12.964 1027   2.058 pinhole
5075 2403.778 2174.770  13.226 259   2.245 pinhole
6517 545.548 2177.399  13.399 259   2.150 pinhole
5075 2409.928 2176.742  12.873 1027   2.178 pinhole
6517 554.513 2179.435  13.204 515   2.122 pinhole
5075 2409.671 2183.189  13.245 515   2.065 pinhole
6150 1663.578 2203.185  13.479 515   2.412 pinhole
6150 1650.980 2204.240  13.375 771   2.288 pinhole
6150 1657.299 2203.716  13.294 1027   2.040 pinhole
6150 1655.829 2209.967  13.216 259   2.561 pinhole
9075 3631.228 2227.343  13.462 515   2.167 pinhole
9075 3625.875 2230.923  13.167 1027   2.108 pinhole
9075 3620.506 2234.467  13.368 771   2.267 pinhole
9075 3627.871 2237.080  13.138 259   2.607 pinhole
7517 5453.196 2307.366  13.110 771   2.431 pinhole
7517 5449.528 2313.491  13.123 259   2.408 pinhole
7517 5455.235 2313.284  12.851 1027   2.225 pinhole
7517 5457.322 2319.204  13.079 515   2.371 pinhole
6321 1073.930 2349.886  13.292 771   2.290 pinhole
6321 1077.313 2355.033  13.137 1027   2.180 pinhole
6321 1071.468 2357.160  13.216 259   2.380 pinhole
6321 1080.721 2360.219  13.508 515   2.156 pinhole
7321 4926.484 2470.614  13.703 515   2.164 pinhole
7321 4923.996 2476.386  13.024 1027   2.465 pinhole
7321 4928.589 2480.600  13.476 259   2.524 pinhole
7321 4921.535 2482.088  13.675 771   2.223 pinhole
6534 450.457 2588.410  13.392 259   2.133 pinhole
6534 456.477 2591.946  13.173 771   2.397 pinhole
6534 451.192 2594.613  13.117 1027   2.073 pinhole
6534 445.871 2597.308  13.397 515   2.091 pinhole
4011 2881.555 2633.160  13.092 515   2.194 pinhole
4011 2891.984 2634.188  12.966 259   2.415 pinhole
4011 2886.369 2637.591  13.016 1027   2.038 pinhole
4011 2891.170 2641.991  13.022 771   2.229 pinhole
7482 5520.546 2646.961  13.553 771   2.384 pinhole
7482 5515.963 2652.371  13.475 259   2.735 pinhole
7482 5521.542 2653.090  13.199 1027   2.866 pinhole
9011 3137.574 2653.878  13.143 515   2.042 pinhole
9011 3147.821 2656.228  12.878 259   2.294 pinhole
9011 3141.816 2658.872  12.908 1027   1.968 pinhole
7482 5522.687 2659.317  13.573 515   2.633 pinhole
9011 3146.081 2663.865  12.684 771   2.372 pinhole
6075 2014.431 2672.808  13.390 259   2.104 pinhole
6075 2005.272 2677.638  13.289 515   2.244 pinhole
6075 2011.607 2678.682  12.925 1027   2.285 pinhole
6075 2017.940 2679.715  13.011 771   2.524 pinhole
6542 411.800 2760.259  13.314 259   2.653 pinhole
7075 3983.817 2760.504  13.181 259   2.420 pinhole
7075 3973.522 2760.543  13.214 515   2.166 pinhole
5011 2664.978 2764.025  13.252 259   2.494 pinhole
7075 3978.694 2764.451  13.048 1027   2.059 pinhole
6542 416.911 2765.115  13.104 771   2.557 pinhole
6542 411.296 2766.482  13.324 1027   2.170 pinhole
5011 2672.483 2766.222  13.245 771   2.323 pinhole
6542 405.709 2767.867  13.151 515   2.414 pinhole
7075 3983.849 2768.309  13.209 771   2.242 pinhole
5011 2667.201 2770.108  13.030 1027   2.220 pinhole
6496 589.810 2771.137  13.505 515   2.239 pinhole
6496 599.186 2770.769  13.610 259   2.023 pinhole
5011 2661.938 2773.999  13.264 515   2.315 pinhole
6496 594.564 2774.720  13.743 1027   1.715 pinhole
6496 599.298 2778.331  13.566 771   2.118 pinhole
7011 3332.287 2820.426  12.965 515   2.101 pinhole
7011 3342.219 2823.878  12.856 259   2.126 pinhole
7011 3335.950 2825.860  12.648 1027   2.026 pinhole
7011 3339.619 2831.347  12.968 771   2.051 pinhole
7439 5553.325 2930.589  13.940 515   2.436 pinhole
7150 4541.516 2933.187  13.267 771   2.680 pinhole
7439 5561.471 2935.218  13.241 259   2.865 pinhole
7439 5555.869 2936.233  13.616 1027   2.639 pinhole
7150 4536.786 2939.153  13.367 259   2.399 pinhole
7150 4543.007 2939.423  12.910 1027   2.586 pinhole
7439 5558.348 2941.853  13.310 771   3.016 pinhole
7150 4544.494 2945.658  13.234 515   2.736 pinhole
6011 2564.660 3001.841  13.377 515   2.066 pinhole
6011 2574.778 3004.592  13.241 259   2.298 pinhole
6011 2568.719 3007.006  13.186 1027   2.170 pinhole
6239 1285.587 3009.530  13.266 515   1.985 pinhole
6541 690.433 3011.759  13.325 771   2.064 pinhole
6011 2572.745 3012.193  13.300 771   2.356 pinhole
6541 683.501 3013.470  14.051 259   1.784 pinhole
6239 1294.482 3014.065  12.974 259   2.335 pinhole
6239 1288.403 3015.258  12.869 1027   2.048 pinhole
6541 688.003 3017.562  13.196 1027   2.157 pinhole
6239 1291.229 3020.960  12.845 771   2.435 pinhole
6541 685.613 3023.332  13.644 515   2.034 pinhole
2541 5266.713 3061.335  13.413 771   3.054 pinhole
2541 5271.722 3064.258  13.556 1027   2.139 pinhole
2239 4665.252 3066.250  13.477 771   2.744 pinhole
2239 4671.421 3066.352  13.632 1027   2.302 pinhole
2239 4677.602 3066.454  13.822 515   2.482 pinhole
2541 5276.814 3067.192  13.233 515   3.166 pinhole
2541 5267.592 3068.710  13.315 259   2.629 pinhole
2011 3387.779 3072.832  13.107 771   2.276 pinhole
2239 4669.586 3072.485  13.627 259   2.682 pinhole
2011 3393.899 3074.929  12.955 1027   2.060 pinhole
