DEVICE_ID,DEVICE_TYPE,PETAL_ID,BUS_ID,CAN_ID,PETAL_LOC,DEVICE_LOC,FVC_ID,SLIT_ID,SLITBLOCK_ID,BLOCKFIBER_ID,SPECTRO_ID,ENABLED
M00282,POS,6,12,282,2,138,6138,6,B00,F16,,N/A
M00283,POS,8,10,283,4,25,8025,1,B04,F07,,N/A
M00284,POS,6,12,284,2,180,6180,6,B01,F10,,N/A
M00296,POS,8,13,296,4,103,8103,1,B18,F10,,N/A
M00325,POS,8,11,325,4,41,8041,1,B10,F04,,N/A
M00411,POS,11,14,411,6,526,11526,4,B01,F09,,N/A
M00436,POS,3,13,436,3,117,3117,2,B13,F19,,N/A
M00469,POS,10,13,469,5,106,10106,7,B00,F06,,N/A
M00470,POS,11,14,470,6,525,11525,4,B00,F06,,N/A
M00636,POS,7,23,636,8,261,7261,5,B14,F21,,N/A
M00660,POS,9,16,660,9,502,9502,8,B13,F00,,N/A
M00676,POS,9,13,676,9,132,9132,8,B07,F17,,N/A
M00677,POS,3,14,677,3,408,3408,2,B18,F08,,N/A
M00795,POS,11,14,795,6,365,11365,4,B06,F05,,N/A
M00934,POS,11,23,934,6,212,11212,4,B10,F03,,N/A
M00936,POS,7,14,936,8,450,7450,5,B11,F23,,N/A
M00946,POS,9,14,946,9,432,9432,8,B17,F03,,N/A
M00956,POS,9,13,956,9,109,9109,8,B06,F00,,N/A
M01001,POS,7,15,1001,8,361,7361,5,B11,F19,,N/A
M01020,POS,8,12,1020,4,169,8169,1,B15,F00,,N/A
M01023,POS,6,12,1023,2,124,6124,6,B00,F15,,N/A
M01028,POS,11,14,1028,6,511,11511,4,B00,F14,,N/A
M01033,POS,7,23,1033,8,244,7244,5,B14,F04,,N/A
M01042,POS,11,14,1042,6,512,11512,4,B01,F21,,N/A
M01049,POS,11,14,1049,6,495,11495,4,B00,F19,,N/A
M01058,POS,9,23,1058,9,303,9303,8,B05,F16,,N/A
M01065,POS,10,13,1065,5,62,10062,7,B00,F08,,N/A
M01073,POS,11,14,1073,6,472,11472,4,B07,F12,,N/A
M01074,POS,11,14,1074,6,364,11364,4,B06,F01,,N/A
M01075,POS,10,13,1075,5,144,10144,7,B01,F13,,N/A
M01076,POS,11,22,1076,6,323,11323,4,B11,F18,,N/A
M01077,POS,6,16,1077,2,520,6520,6,B03,F09,,N/A
M01078,POS,11,14,1078,6,476,11476,4,B01,F03,,N/A
M01080,POS,11,14,1080,6,452,11452,4,B07,F19,,N/A
M01081,POS,7,23,1081,8,243,7243,5,B14,F05,,N/A
M01083,POS,11,22,1083,6,304,11304,4,B10,F19,,N/A
M01084,POS,2,13,1084,7,128,2128,0,B09,F24,,N/A
M01085,POS,11,14,1085,6,477,11477,4,B00,F16,,N/A
M01086,POS,8,13,1086,4,142,8142,1,B18,F15,,N/A
M01087,POS,11,15,1087,6,359,11359,4,B06,F18,,N/A
M01088,POS,7,15,1088,8,295,7295,5,B03,F20,,N/A
M01091,POS,11,14,1091,6,428,11428,4,B06,F12,,N/A
M01092,POS,9,22,1092,9,304,9304,8,B04,F19,,N/A
M01093,POS,9,23,1093,9,285,9285,8,B05,F11,,N/A
M01094,POS,7,22,1094,8,330,7330,5,B07,F01,,N/A
M01095,POS,7,17,1095,8,397,7397,5,B18,F07,,N/A
M01096,POS,9,10,1096,9,9,9009,8,B14,F18,,N/A
M01097,POS,9,10,1097,9,1,9001,8,B14,F12,,N/A
M01099,POS,7,17,1099,8,394,7394,5,B18,F03,,N/A
M01100,POS,7,22,1100,8,304,7304,5,B00,F21,,N/A
M01102,POS,11,16,1102,6,488,11488,4,B19,F23,,N/A
M01104,POS,9,12,1104,9,234,9234,8,B19,F23,,N/A
M01105,POS,11,22,1105,6,286,11286,4,B11,F03,,N/A
M01106,POS,11,14,1106,6,456,11456,4,B01,F02,,N/A
M01107,POS,10,13,1107,5,54,10054,7,B01,F16,,N/A
M01108,POS,11,15,1108,6,380,11380,4,B06,F10,,N/A
M01109,POS,7,12,1109,8,233,7233,5,B17,F14,,N/A
M01130,POS,11,15,1130,6,319,11319,4,B07,F20,,N/A
M01131,POS,11,14,1131,6,431,11431,4,B07,F01,,N/A
M01133,POS,8,14,1133,4,492,8492,1,B17,F21,,N/A
M01134,POS,5,17,1134,1,420,5420,3,B00,F17,,N/A
M01135,POS,3,22,1135,3,306,3306,2,B07,F09,,N/A
M01136,POS,9,12,1136,9,214,9214,8,B19,F24,,N/A
M01146,POS,3,22,1146,3,346,3346,2,B07,F11,,N/A
M01149,POS,11,14,1149,6,450,11450,4,B07,F14,,N/A
M01164,POS,8,17,1164,4,401,8401,1,B06,F20,,N/A
