PETAL_ID,PETAL_LOC,DEVICE_LOC,DEVICE_TYPE,PINHOLE_ID,X_PTL,Y_PTL,Z_PTL,X_MNT,Y_MNT,Z_MNT,PTL_SOURCE,PROJ_DISTANCE,PROVENANCE,NOTES,X_FP,Y_FP,Z_FP,LOCATION,DEVICE_ID,BUS_ID,CAN_ID
5,1,,GFA,1,349.07010649144576,209.88789150109963,-20.963973075750413,,,,Calculated,,DESI-4825,GFA 05,307.58327394911703,-267.0957781553705,-20.963973075750413,,unknown,-1,-1
5,1,,GFA,2,331.10768013282404,234.80307651918648,-20.824583705192328,,,,Calculated,,DESI-4825,GFA 05,325.72563311332834,-242.30981264640693,-20.824583705192328,,unknown,-1,-1
5,1,,GFA,3,318.61604445256626,225.78933071539402,-19.396509230549132,,,,Calculated,,DESI-4825,GFA 05,313.29047173095864,-233.21667870953814,-19.396509230549132,,unknown,-1,-1
5,1,,GFA,4,336.57847081118786,200.8741456973072,-19.535898601107217,,,,Calculated,,DESI-4825,GFA 05,295.14811256674744,-258.0026442185015,-19.535898601107217,,unknown,-1,-1
8,4,,GFA,1,348.88877811441046,210.0658449423385,-20.959829913397524,,,,Calculated,,DESI-4824,GFA 07,158.85805532057034,375.086684763372,-20.959829913397524,,unknown,-1,-1
8,4,,GFA,2,330.78837091880894,234.88514242698972,-20.67898160440657,,,,Calculated,,DESI-4824,GFA 07,129.62529379721306,384.5316817880869,-20.67898160440657,,unknown,-1,-1
8,4,,GFA,3,318.34856339865115,225.79675101573295,-19.247929572753737,,,,Calculated,,DESI-4824,GFA 07,124.90071317234619,369.8674683728627,-19.247929572753737,,unknown,-1,-1
8,4,,GFA,4,336.44897059425267,200.97745353108172,-19.5287778817447,,,,Calculated,,DESI-4824,GFA 07,154.1334746957035,360.4224713481475,-19.5287778817447,,unknown,-1,-1
9,9,,GFA,1,348.9611860060617,209.76456065234632,-20.926081765227412,,,,Calculated,,DESI-4837,GFA 03,-159.08544577663164,-374.81640530313183,-20.926081765227412,,unknown,-1,-1
9,9,,GFA,2,330.83475861471936,234.56565518936807,-20.825485135862,,,,Calculated,,DESI-4837,GFA 03,-129.84180995806415,-384.22977477692126,-20.825485135862,,unknown,-1,-1
9,9,,GFA,3,318.3991444322219,225.47103091151635,-19.400199330458396,,,,Calculated,,DESI-4837,GFA 03,-125.12509195882981,-369.5627231213837,-19.400199330458396,,unknown,-1,-1
9,9,,GFA,4,336.52557182356423,200.66993637449463,-19.500795959823808,,,,Calculated,,DESI-4837,GFA 03,-154.36872777739728,-360.14935364759435,-19.500795959823808,,unknown,-1,-1
