PETAL_ID,PETAL_LOC,DEVICE_LOC,DEVICE_TYPE,PINHOLE_ID,X_PTL,Y_PTL,Z_PTL,X_MNT,Y_MNT,Z_MNT,PTL_SOURCE,PROJ_DISTANCE,PROVENANCE,NOTES,X_FP,Y_FP,Z_FP,LOCATION
8,4,321,FIF,5,0.0,0.0,0.0,0.0,0.0,0.0,interp,0.0,none,none,194.68450753637484,248.41179725484267,0.0,4321
11,6,11,FIF,3,53.7349347,33.1826002,-0.50824,53.485314,31.969797999999997,-86.867324,interp,86.5,none,none,-48.016087639079345,40.92622013761512,-0.50824,6011
11,6,11,FIF,1,53.3278756,32.0527243,-0.497148,53.485314,31.969797999999997,-86.867324,interp,86.5,none,none,-46.826702214198455,41.0170382643183,-0.497148,6011
11,6,11,FIF,4,54.2818448,32.3467954,-0.4841,53.485314,31.969797999999997,-86.867324,interp,86.5,none,none,-47.48103229990896,41.76420866956788,-0.4841,6011
11,6,11,FIF,2,54.8314157,31.5104933,-0.5036366,53.485314,31.969797999999997,-86.867324,interp,86.5,none,none,-46.94746480534003,42.61220168599848,-0.5036366,6011
3,3,534,FIF,3,368.6138658,176.4007048,-18.9301568,359.824472,172.817667,-104.760586,interp,86.5,none,none,368.52155751967103,176.32985035219627,-18.9301568,3534
3,3,534,FIF,4,367.6521056,176.6557922,-18.8355077,359.824472,172.817667,-104.760586,interp,86.5,none,none,367.59183749604665,176.68891285047613,-18.8355077,3534
3,3,534,FIF,2,366.688753,176.9138375,-18.7649245,359.824472,172.817667,-104.760586,interp,86.5,none,none,366.662015920334,177.04599216461872,-18.7649245,3534
3,3,534,FIF,1,368.165744,177.5089156,-18.9441155,359.824472,172.817667,-104.760586,interp,86.5,none,none,368.1931953199793,177.47954043298336,-18.9441155,3534
11,6,541,GIF,3,295.6316672,207.6472784,-14.7505573,,,,interp,,none,,-289.7276321654746,217.54445741827737,-14.7505573,6541
