,exp_id,date,n_iterations,ra,dec,mountha,mountaz,zd,airmass,guide_rms,guide_rms_ra,guide_rms_dec,centroids_rms_ra,centroids_rms_dec,centroids_std_ra,centroids_std_dec,field_rotation_rate,field_rotation_init,field_rotation_rate_slope_std,field_rotation_rate_linregress_std,psf_fwhm,psf_fwhm_std,psf_fit,effective_seeing
0,55692,2020-03-16 12:32:13.414007,25,169.964679,59.99676,79.96255,324.43125,57.833678,1.874,277.38195909606475,207.08146134449416,184.54814981299518,145.0302062314287,100.99236658865712,26.51918175966299,32.443530866128995,0.13913006723072033,3.1875892827169254,0.8247331170483453,1.0140313356167754,1.4638809107521171,0.10571338789270046,0.08948193423182811,1.6029963889041439
1,55690,2020-03-16 12:26:12.109064,24,169.9653,59.99723,78.434842,324.295267,57.078422,1.835925,138.0293379797173,98.89795619093368,96.28755061987604,153.92174857939253,94.69930399571788,35.94909585824323,17.940843366118674,0.5114183877312465,2.3968223890196683,0.7714478345991036,0.9633254238576422,1.3417911933764306,0.09354894976585588,0.08970451095519376,1.3805980108182176
2,55688,2020-03-16 12:20:07.262156,24,169.965958,59.99768,76.930077,324.179536,56.332241,1.800091,286.6307591923921,138.42904641831495,250.9872331871147,131.21031082555203,110.66764391418455,19.58253421586813,16.61273515536605,0.0509508202713168,3.4447254874095945,0.7234262809329516,0.8876898555372659,1.218268592759343,0.05498464485596739,0.056104488758200614,1.392750715418588
3,55686,2020-03-16 12:14:07.737486,25,169.966692,59.99813,75.427326,324.082496,55.585149,1.765878,237.958816836401,124.33074492703483,202.8947125384702,177.61005044197518,112.84986792675247,39.749296720306354,15.771877792592017,0.06990949641329738,3.9176198291551847,0.8761900521646687,1.0779855961876956,1.4374802939825468,0.17361889839407524,0.05570385253973822,1.5428356753086645
4,55684,2020-03-16 12:07:56.989621,25,169.967442,59.99856,73.87651,324.002267,54.812523,1.732135,195.51373223853656,152.5540388199555,122.28198859015048,152.58396337986713,77.43002142368174,30.98670264496102,21.409721287401688,0.7293098627598608,2.184605820487823,0.4833730834950373,0.5933487463748173,1.294128239620623,0.08663722032454838,0.04102404623381527,1.3735849939101736
5,55682,2020-03-16 12:01:46.850798,25,169.968209,59.99897,72.329855,323.943,54.039541,1.699941,225.0234857754022,148.833868566047,168.7721799295645,134.32307103407248,103.24677799413668,21.162490207413033,14.451611779835801,-0.15357519562585586,4.039981452440976,0.5337184788478806,0.6547354885744199,1.2634361261128728,0.14372633482152403,0.05616473090780078,1.3700562214632441
6,55680,2020-03-16 11:55:37.231477,25,169.968979,59.99935,70.787375,323.905126,53.270049,1.669352,221.5024876262767,107.64956983245325,193.58440572400616,132.23919768011345,108.56370801936774,25.935929833008277,14.822513106757606,0.38146387638835433,2.173972415070687,0.7206606547881056,0.8810306159666457,1.327200787665483,0.09571700525061604,0.06104013703917496,1.426017851701751
7,55678,2020-03-16 11:49:38.217072,24,169.969758,59.99973,69.284369,323.889283,52.518658,1.640803,149.36665604366502,87.46146132085536,121.0821651660023,135.89981328291674,87.7097604663803,23.844689913342,16.768380931301163,0.18854782739279013,4.0969647268358305,0.49493008782238385,0.6065159164488896,1.3107257815264233,0.09121365390206648,0.036937467607402893,1.357098811821669
8,55676,2020-03-16 11:43:37.511945,25,169.97055,60.00008,67.773412,323.894898,51.763207,1.613339,169.19347410106477,104.2891050620473,133.2299299847633,137.33112956517084,64.06016315757793,25.739236394835476,12.282841946839117,-0.38437634256289466,3.635724835429759,0.7730351114490639,0.9512476816308381,1.208027680875704,0.07666728888417301,0.03824168169191474,1.272033613922911
9,55674,2020-03-16 11:37:38.175395,25,169.97135,60.00042,66.268296,323.922662,51.010984,1.587157,160.4187006770334,122.69111850631795,103.34916045414342,128.99561317846678,62.9379896499865,31.5491144004605,9.636086500650855,-0.3104976682632726,2.9952983570028384,0.4562110902322928,0.5627659669947975,1.1240673100387097,0.06425854098192896,0.03980003291574897,1.185844759233357
