AXIS,DEVICE_LOC,DEVICE_TYPE,PINHOLE_ID,VALUE,NOMINAL,UPPER_TOL,LOWER_TOL,DEVIATION
X,11,FIF,1,54.2532492,53.9658,999,-999,0.2874492
X,11,FIF,2,54.9250612,54.9182,999,-999,0.0068612
X,11,FIF,3,53.7208886,53.4209,999,-999,0.2999886
X,11,FIF,4,53.5986565,53.004,999,-999,0.5946565
X,75,FIF,1,153.084686,152.9731,999,-999,0.111586
X,75,FIF,2,153.7038009,153.1443,999,-999,0.5595009
X,75,FIF,3,152.4612553,152.078,999,-999,0.3832553
X,75,FIF,4,153.657487,153.8685,999,-999,-0.211013
X,150,FIF,1,241.6827966,241.6202,999,-999,0.0625966
X,150,FIF,2,242.6452185,242.3964,999,-999,0.2488185
X,150,FIF,3,240.7005395,240.8501,999,-999,-0.1495605
X,150,FIF,4,241.6252064,241.2311,999,-999,0.3941064
X,239,FIF,1,215.5930695,215.388,999,-999,0.2050695
X,239,FIF,2,216.4927269,214.4989,999,-999,1.9938269
X,239,FIF,3,214.9218656,214.698,999,-999,0.2238656
X,239,FIF,4,216.2668842,216.2765,999,-999,-0.0096158
X,321,FIF,1,304.1803303,304.0398,999,-999,0.1405303
X,321,FIF,2,304.6529197,303.0982,999,-999,1.5547197
X,321,FIF,3,303.4675374,304.9809,999,-999,-1.5133626
X,321,FIF,4,303.7163243,304.6263,999,-999,-0.9099757
X,439,FIF,1,409.3786923,409.3534,999,-999,0.0252923
X,439,FIF,2,410.2338241,408.5051,999,-999,1.7287241
X,439,FIF,3,408.526105,410.1978,999,-999,-1.671695
X,439,FIF,4,408.6545302,409.0865,999,-999,-0.4319698
X,482,FIF,1,404.1262926,404.1778,999,-999,-0.0515074
X,482,FIF,2,405.003132,403.4268,999,-999,1.576332
X,482,FIF,3,403.9226974,404.931,999,-999,-1.0083026
X,482,FIF,4,403.2517156,403.3417,999,-999,-0.0899844
X,496,FIF,1,330.7627088,330.6774,999,-999,0.0853088
X,496,FIF,2,331.1884636,331.6775,999,-999,-0.4890364
X,496,FIF,3,330.0157645,329.6854,999,-999,0.3303645
X,496,FIF,4,330.3384267,330.407,999,-999,-0.0685733
X,517,FIF,1,393.8517871,393.799,999,-999,0.0527871
X,517,FIF,2,394.15787,394.3055,999,-999,-0.14763
X,517,FIF,3,393.5466395,392.8381,999,-999,0.7085395
