DEVICE_ID,DEVICE_TYPE,PETAL_ID,BUS_ID,CAN_ID,PETAL_LOC,DEVICE_LOC,FVC_ID,SLIT_ID,SLITBLOCK_ID,BLOCKFIBER_ID,SPECTRO_ID,ENABLED
M00285,POS,1,12,285,3,126,1126,,,,,N/A
M00421,POS,1,15,421,3,357,1357,,,,,N/A
M00628,POS,1,22,628,3,368,1368,,,,,N/A
M00741,POS,1,17,741,3,464,1464,,,,,N/A
M00796,POS,1,11,796,3,98,1098,,,,,N/A
M01051,POS,1,14,1051,3,510,1510,,,,,N/A
M01057,POS,1,14,1057,3,494,1494,,,,,N/A
M01060,POS,1,14,1060,3,409,1409,,,,,N/A
M01066,POS,1,13,1066,3,222,1222,,,,,N/A
M01258,POS,1,13,1258,3,91,1091,,,,,N/A
M01292,POS,1,11,1292,3,48,1048,,,,,N/A
M01302,POS,1,15,1302,3,294,1294,,,,,N/A
M01342,POS,1,15,1342,3,362,1362,,,,,N/A
M01347,POS,1,11,1347,3,88,1088,,,,,N/A
M01373,POS,1,14,1373,3,492,1492,,,,,N/A
M01395,POS,1,12,1395,3,156,1156,,,,,N/A
M01409,POS,1,22,1409,3,289,1289,,,,,N/A
M01412,POS,1,12,1412,3,187,1187,,,,,N/A
M01414,POS,1,10,1414,3,13,1013,,,,,N/A
M01430,POS,1,15,1430,3,336,1336,,,,,N/A
M01436,POS,1,22,1436,3,347,1347,,,,,N/A
M01437,POS,1,22,1437,3,307,1307,,,,,N/A
M01438,POS,1,13,1438,3,72,1072,,,,,N/A
M01449,POS,1,12,1449,3,202,1202,,,,,N/A
M01451,POS,1,14,1451,3,508,1508,,,,,N/A
M01462,POS,1,11,1462,3,39,1039,,,,,N/A
M01472,POS,1,17,1472,3,332,1332,,,,,N/A
M01475,POS,1,22,1475,3,388,1388,,,,,N/A
M01504,POS,1,11,1504,3,40,1040,,,,,N/A
M01508,POS,1,11,1508,3,47,1047,,,,,N/A
M01529,POS,1,17,1529,3,314,1314,,,,,N/A
M01575,POS,1,15,1575,3,295,1295,,,,,N/A
M01578,POS,1,14,1578,3,387,1387,,,,,N/A
M01590,POS,1,15,1590,3,223,1223,,,,,N/A
M01596,POS,1,17,1596,3,335,1335,,,,,N/A
M01597,POS,1,15,1597,3,337,1337,,,,,N/A
M01603,POS,1,12,1603,3,217,1217,,,,,N/A
M01606,POS,1,22,1606,3,329,1329,,,,,N/A
M01610,POS,1,11,1610,3,65,1065,,,,,N/A
M01620,POS,1,13,1620,3,191,1191,,,,,N/A
M01639,POS,1,17,1639,3,461,1461,,,,,N/A
M01641,POS,1,11,1641,3,111,1111,,,,,N/A
M01652,POS,1,17,1652,3,462,1462,,,,,N/A
M01654,POS,1,17,1654,3,377,1377,,,,,N/A
M01657,POS,1,22,1657,3,367,1367,,,,,N/A
M01660,POS,1,11,1660,3,99,1099,,,,,N/A
M01663,POS,1,15,1663,3,316,1316,,,,,N/A
M01664,POS,1,14,1664,3,385,1385,,,,,N/A
M01668,POS,1,22,1668,3,287,1287,,,,,N/A
M01733,POS,1,10,1733,3,31,1031,,,,,N/A
M01785,POS,1,11,1785,3,87,1087,,,,,N/A
M01798,POS,1,11,1798,3,77,1077,,,,,N/A
M01820,POS,1,11,1820,3,53,1053,,,,,N/A
M01821,POS,1,12,1821,3,138,1138,,,,,N/A
M01822,POS,1,23,1822,3,285,1285,,,,,N/A
M01836,POS,1,17,1836,3,399,1399,,,,,N/A
M01858,POS,1,11,1858,3,35,1035,,,,,N/A
M01867,POS,1,11,1867,3,32,1032,,,,,N/A
M01890,POS,1,17,1890,3,421,1421,,,,,N/A
M01891,POS,1,15,1891,3,258,1258,,,,,N/A
M01892,POS,1,17,1892,3,356,1356,,,,,N/A
M01908,POS,1,22,1908,3,391,1391,,,,,N/A
M01928,POS,1,12,1928,3,172,1172,,,,,N/A
M01936,POS,1,22,1936,3,327,1327,,,,,N/A
M01963,POS,1,15,1963,3,275,1275,,,,,N/A
M01981,POS,1,11,1981,3,22,1022,,,,,N/A
M01982,POS,1,15,1982,3,342,1342,,,,,N/A
M01985,POS,1,13,1985,3,206,1206,,,,,N/A
M01988,POS,1,15,1988,3,276,1276,,,,,N/A
M01989,POS,1,11,1989,3,46,1046,,,,,N/A
M01991,POS,1,15,1991,3,338,1338,,,,,N/A
M01999,POS,1,22,1999,3,389,1389,,,,,N/A
M02002,POS,1,22,2002,3,346,1346,,,,,N/A
M02004,POS,1,17,2004,3,443,1443,,,,,N/A
M02009,POS,1,17,2009,3,440,1440,,,,,N/A
M02010,POS,1,15,2010,3,293,1293,,,,,N/A
M02012,POS,1,11,2012,3,100,1100,,,,,N/A
M02018,POS,1,11,2018,3,58,1058,,,,,N/A
M02026,POS,1,15,2026,3,404,1404,,,,,N/A
M02049,POS,1,14,2049,3,523,1523,,,,,N/A
M02052,POS,1,17,2052,3,442,1442,,,,,N/A
M02059,POS,1,22,2059,3,330,1330,,,,,N/A
M02062,POS,1,15,2062,3,298,1298,,,,,N/A
M02070,POS,1,15,2070,3,341,1341,,,,,N/A
M02071,POS,1,22,2071,3,306,1306,,,,,N/A
M02074,POS,1,17,2074,3,420,1420,,,,,N/A
M02084,POS,1,12,2084,3,201,1201,,,,,N/A
M02116,POS,1,22,2116,3,412,1412,,,,,N/A
M02119,POS,1,11,2119,3,66,1066,,,,,N/A
M02136,POS,1,11,2136,3,29,1029,,,,,N/A
M02138,POS,1,15,2138,3,257,1257,,,,,N/A
M02142,POS,1,15,2142,3,296,1296,,,,,N/A
M02143,POS,1,10,2143,3,9,1009,,,,,N/A
M02144,POS,1,15,2144,3,315,1315,,,,,N/A
M02145,POS,1,22,2145,3,370,1370,,,,,N/A
M02149,POS,1,15,2149,3,297,1297,,,,,N/A
M02152,POS,1,17,2152,3,398,1398,,,,,N/A
M02155,POS,1,17,2155,3,441,1441,,,,,N/A
M02158,POS,1,15,2158,3,240,1240,,,,,N/A
M02161,POS,1,14,2161,3,473,1473,,,,,N/A
M02162,POS,1,15,2162,3,260,1260,,,,,N/A
M02163,POS,1,15,2163,3,277,1277,,,,,N/A
M02169,POS,1,11,2169,3,43,1043,,,,,N/A
M02175,POS,1,22,2175,3,269,1269,,,,,N/A
M02180,POS,1,15,2180,3,241,1241,,,,,N/A
M02182,POS,1,11,2182,3,21,1021,,,,,N/A
M02187,POS,1,22,2187,3,326,1326,,,,,N/A
