DEVICE_ID,DEVICE_TYPE,PETAL_ID,BUS_ID,CAN_ID,SI_ID,FULL_SI_ID,PETAL_LOC,DEVICE_LOC
1414,POS,1,10,1414,47:b4:19:02:21:65:03:13,21:65:03:43:37:ff:d8:05:41:4b:36:32,,13
1733,POS,1,10,1733,47:b4:19:02:15:82:03:13,15:82:03:43:37:ff:d6:05:41:4b:36:32,,31
2143,POS,1,10,2143,c3:74:02:08:38:79:07:13,38:79:07:43:33:ff:d7:05:43:57:30:38,,9
2202,POS,1,10,2202,c3:74:02:08:17:52:06:13,17:52:06:43:33:ff:db:05:43:57:30:38,,5
2222,POS,1,10,2222,c3:74:02:08:26:56:06:13,26:56:06:43:33:ff:d6:05:43:57:30:38,,20
2233,POS,1,10,2233,c3:74:02:08:13:61:06:13,13:61:06:43:33:ff:d6:05:43:57:30:38,,25
2491,POS,1,10,2491,c3:74:02:08:11:73:07:13,11:73:07:43:33:ff:d5:05:43:57:30:38,,3
6117,POS,1,10,6117,c0:86:0a:01:15:58:10:13,15:58:10:43:30:ff:d5:05:4b:58:32:31,,0
6239,POS,1,10,6239,c1:76:22:02:43:63:02:13,43:63:02:43:31:ff:da:05:4b:57:38:32,,10
6255,POS,1,10,6255,c0:86:0a:01:37:82:09:13,37:82:09:43:30:ff:d6:05:4b:58:32:31,,6
6257,POS,1,10,6257,c0:86:0a:01:16:58:10:13,16:58:10:43:30:ff:d6:05:4b:58:32:31,,7
6258,POS,1,10,6258,c0:86:0a:01:36:57:10:13,36:57:10:43:30:ff:db:05:4b:58:32:31,,30
6406,POS,1,10,6406,c1:76:22:02:40:65:02:13,40:65:02:43:31:ff:d8:05:4b:57:38:32,,8
6445,POS,1,10,6445,c1:76:22:02:33:68:01:13,33:68:01:43:31:ff:dd:05:4b:57:38:32,,18
6478,POS,1,10,6478,c1:76:22:02:35:58:02:13,35:58:02:43:31:ff:d6:05:4b:57:38:32,,14
6519,POS,1,10,6519,c0:86:0a:01:24:59:10:13,24:59:10:43:30:ff:db:05:4b:58:32:31,,24
6520,POS,1,10,6520,c0:86:0a:01:29:55:10:13,29:55:10:43:30:ff:d8:05:4b:58:32:31,,2
6522,POS,1,10,6522,c1:76:22:02:08:69:01:13,08:69:01:43:31:ff:d6:05:4b:57:38:32,,23
6523,POS,1,10,6523,c1:76:22:02:43:72:01:13,43:72:01:43:31:ff:d9:05:4b:57:38:32,,4
6525,POS,1,10,6525,c1:76:22:02:21:75:01:13,21:75:01:43:31:ff:da:05:4b:57:38:32,,19
6534,POS,1,10,6534,c1:76:22:02:11:76:01:13,11:76:01:43:31:ff:d8:05:4b:57:38:32,,15
6568,POS,1,10,6568,c1:76:22:02:05:62:01:13,05:62:01:43:31:ff:d7:05:4b:57:38:32,,12
6570,POS,1,10,6570,c1:76:22:02:09:69:01:13,09:69:01:43:31:ff:d8:05:4b:57:38:32,,1
6574,POS,1,10,6574,c1:76:22:02:15:61:01:13,15:61:01:43:31:ff:d7:05:4b:57:38:32,,16
6949,POS,1,10,6949,c1:76:22:02:26:68:01:13,26:68:01:43:31:ff:d8:05:4b:57:38:32,,17
P085,FIF,1,10,10085,47:b4:19:02:05:72:03:13,05:72:03:43:37:ff:dc:05:41:4b:36:32,,11
796,POS,1,11,796,47:b4:19:02:23:68:03:13,23:68:03:43:37:ff:d6:05:41:4b:36:32,,98
1292,POS,1,11,1292,47:b4:19:02:06:61:01:13,06:61:01:43:37:ff:dd:05:41:4b:36:32,,48
1347,POS,1,11,1347,47:b4:19:02:39:74:03:13,39:74:03:43:37:ff:db:05:41:4b:36:32,,88
1462,POS,1,11,1462,c3:74:02:08:10:62:06:13,10:62:06:43:33:ff:d6:05:43:57:30:38,,39
1504,POS,1,11,1504,c3:74:02:08:25:52:06:13,25:52:06:43:33:ff:d8:05:43:57:30:38,,40
1508,POS,1,11,1508,47:b4:19:02:40:82:03:13,40:82:03:43:37:ff:dc:05:41:4b:36:32,,47
1610,POS,1,11,1610,47:b4:19:02:20:88:02:13,20:88:02:43:37:ff:d9:05:41:4b:36:32,,65
1641,POS,1,11,1641,47:b4:19:02:26:77:01:13,26:77:01:43:37:ff:d8:05:41:4b:36:32,,111
