col0,Petal ID,Petal Loc ID,Device Loc ID,Device Type,DOTID,XPL,YPL,ZPL,X MNT,Y MNT,Z MNT,FCL Source,Proj Distance,Provenance,Notes,XFP,YFP,ZFP,LOCATION,XPIX,YPIX
1132,4,0,517,FIF,1,394.7208203,112.9109255,-18.9715954,385.295352,110.90855800000001,-104.929359,Measured,86.5,"DESI-4900, DESI-3543",,-14.644186605627617,-410.2473893461415,-18.9715954,517,3058.352,458.598
1133,4,0,517,FIF,2,394.068689,114.3696974,-18.9518119,385.295352,110.90855800000001,-104.929359,Measured,86.5,"DESI-4900, DESI-3543",,-13.055221988330992,-410.0786228398415,-18.9518119,517,3048.359,459.566
1135,4,0,517,FIF,4,393.8503668,113.3960336,-18.8808069,385.295352,110.90855800000001,-104.929359,Measured,86.5,"DESI-4900, DESI-3543",,-13.913554110735468,-409.56974982415693,-18.8808069,517,3053.792,462.491
1134,4,0,517,FIF,3,393.6295812,112.4205449,-18.8334643,385.295352,110.90855800000001,-104.929359,Measured,86.5,"DESI-4900, DESI-3543",,-14.772859372745906,-409.0579696450993,-18.8334643,517,3059.21,465.415
1136,4,0,534,FIF,1,368.7089235,176.954566,-18.9416553,359.796725,172.814776,-104.75295,Measured,86.5,"DESI-4900, DESI-3543",,54.305108503956355,-405.3279008037633,-18.9416553,534,2624.458,490.967
1138,4,0,534,FIF,3,368.2875537,175.8335652,-18.8345093,359.796725,172.814776,-104.75295,Measured,86.5,"DESI-4900, DESI-3543",,53.36949514455181,-404.580356193953,-18.8345093,534,2630.302,495.221
1139,4,0,534,FIF,4,367.7537961,176.6805397,-18.8137333,359.796725,172.814776,-104.75295,Measured,86.5,"DESI-4900, DESI-3543",,54.34005828445701,-404.33485635553075,-18.8137333,534,2624.193,496.748
1137,4,0,534,FIF,2,367.2195399,177.5262094,-18.8069141,359.796725,172.814776,-104.75295,Measured,86.5,"DESI-4900, DESI-3543",,55.30953492729112,-404.0884786622717,-18.8069141,534,2618.078,498.289
1126,4,0,482,FIF,3,404.9407639,59.9450401,-18.9787982,395.408633,58.02360600000001,-104.80295,Measured,86.5,"DESI-4900, DESI-3543",,-68.17309943678046,-403.5774752156632,-18.9787982,482,3395.421,497.961
1127,4,0,482,FIF,4,404.145013,59.3462237,-18.8610571,395.408633,58.02360600000001,-104.80295,Measured,86.5,"DESI-4900, DESI-3543",,-68.49631474620497,-402.6354919676628,-18.8610571,482,3397.54,503.448
1124,4,0,482,FIF,1,403.7960947,60.2843326,-18.851212,395.408633,58.02360600000001,-104.80295,Measured,86.5,"DESI-4900, DESI-3543",,-67.49628109120889,-402.5939591227178,-18.851212,482,3391.286,503.637
1146,4,0,542,GIF,3,357.7450619,203.5362261,-19.4336014,,,,Measured,,DESI-4900,,82.97470853502212,-403.12677633781385,-19.4336014,542,2444.131,507.059
1125,4,0,482,FIF,2,403.349686,58.751777,-18.7758103,395.408633,58.02360600000001,-104.80295,Measured,86.5,"DESI-4900, DESI-3543",,-68.81550594707257,-401.69526386057464,-18.7758103,482,3399.672,508.872
1147,4,0,542,GIF,4,357.2873097,202.6562393,-19.3098295,,,,Measured,,DESI-4900,,82.27953925865347,-402.41920759771,-19.3098295,542,2448.432,511.057
1144,4,0,542,GIF,1,356.5695186,203.3503235,-19.3105556,,,,Measured,,DESI-4900,,83.16165716208687,-401.95139893557223,-19.3105556,542,2442.886,513.885
1145,4,0,542,GIF,2,356.8282114,201.770619,-19.2339129,,,,Measured,,DESI-4900,,81.57942943210459,-401.70861573482057,-19.2339129,542,2452.766,515.079
1120,4,0,439,FIF,1,410.3247082,14.1845147,-19.0873618,400.512367,13.885295000000001,-104.91023500000001,Measured,86.5,"DESI-4900, DESI-3543",,-113.35391402386382,-394.5383085307778,-19.0873618,439,3679.972,553.945
1121,4,0,439,FIF,2,409.0714028,15.1681435,-18.9453013,400.512367,13.885295000000001,-104.91023500000001,Measured,86.5,"DESI-4900, DESI-3543",,-112.03076496998315,-393.650853392152,-18.9453013,439,3671.889,558.951
1123,4,0,439,FIF,4,409.3308775,14.2065264,-18.9610883,400.512367,13.885295000000001,-104.91023500000001,Measured,86.5,"DESI-4900, DESI-3543",,-113.02547819729483,-393.60005809351424,-18.9610883,439,3678.119,559.367
1122,4,0,439,FIF,3,409.5914236,13.2398642,-18.9917967,400.512367,13.885295000000001,-104.91023500000001,Measured,86.5,"DESI-4900, DESI-3543",,-114.02532045522432,-393.5487205985175,-18.9917967,439,3684.332,559.782
1671,5,1,439,FIF,2,410.1303974,13.4773795,-19.0625867,400.503267,13.880256,-104.914049,Measured,86.5,"DESI-4881, DESI-3543",,139.62246909844308,-385.88706248315555,-19.0625867,1439,2088.312,617.123
1673,5,1,439,FIF,4,409.5508223,14.2895198,-18.9827625,400.503267,13.880256,-104.914049,Measured,86.5,"DESI-4881, DESI-3543",,140.21565447802016,-385.08480923830075,-18.9827625,1439,2084.528,621.951
1670,5,1,439,FIF,1,408.6163796,13.9575293,-18.8826227,400.503267,13.880256,-104.914049,Measured,86.5,"DESI-4881, DESI-3543",,139.6110488457981,-384.2987730551903,-18.8826227,1439,2088.217,626.43
1672,5,1,439,FIF,3,408.9713154,15.1031265,-18.9415728,400.503267,13.880256,-104.914049,Measured,86.5,"DESI-4881, DESI-3543",,140.81025550984134,-384.282167523468,-18.9415728,1439,2080.729,626.743
3899,9,9,542,GIF,2,357.9715061,203.2995747,-19.4355714,,,,Measured,,DESI-4890,,-170.19042643604814,-374.8703501322014,-19.4355714,9542,4038.036,676.524
1129,4,0,496,FIF,2,331.7590523,186.0252569,-16.2546505,324.211274,181.976879,-102.2164,Measured,86.5,"DESI-4900, DESI-3543",,74.36345596439786,-372.99783565913157,-16.2546505,496,2496.67,682.514
3901,9,9,542,GIF,4,357.2532247,202.6086511,-19.3183831,,,,Measured,,DESI-4890,,-170.01531394646332,-373.889208344989,-19.3183831,9542,4037.164,682.266
3898,9,9,542,GIF,1,357.7128399,201.7219698,-19.3210438,,,,Measured,,DESI-4890,,-170.90827151489853,-373.4419090706603,-19.3210438,9542,4042.798,685.033
1131,4,0,496,FIF,4,330.798561,185.7600297,-16.1299359,324.211274,181.976879,-102.2164,Measured,86.5,"DESI-4900, DESI-3543",,74.40843271408374,-372.0024130870632,-16.1299359,496,2496.359,688.382
3900,9,9,542,GIF,3,356.5332318,201.920477,-19.2254597,,,,Measured,,DESI-4890,,-169.83720086440445,-372.9092853388499,-19.2254597,9542,4036.308,687.945
1128,4,0,496,FIF,1,330.7884113,184.7615127,-16.0942245,324.211274,181.976879,-102.2164,Measured,86.5,"DESI-4900, DESI-3543",,73.46205568548582,-371.68380716206923,-16.0942245,496,2502.336,690.142
1130,4,0,496,FIF,3,329.8384409,185.4959556,-16.0630625,324.211274,181.976879,-102.2164,Measured,86.5,"DESI-4900, DESI-3543",,74.45439112434367,-371.00770028366657,-16.0630625,496,2496.027,694.237
1676,5,1,482,FIF,3,405.1417623,59.1791072,-18.9789529,395.398105,58.022528,-104.80524,Measured,86.5,"DESI-4881, DESI-3543",,181.54329596385747,-367.0143660715177,-18.9789529,1482,1824.802,736.902
1674,5,1,482,FIF,1,404.638526,60.2670898,-18.9413738,395.398105,58.022528,-104.80524,Measured,86.5,"DESI-4881, DESI-3543",,182.42241125255788,-366.1994371048503,-18.9413738,1482,1819.206,741.907
1677,5,1,482,FIF,4,404.1674194,59.3877519,-18.8326128,395.398105,58.022528,-104.80524,Measured,86.5,"DESI-4881, DESI-3543",,181.44050767282437,-366.0232499003022,-18.8326128,1482,1825.297,742.732
1675,5,1,482,FIF,2,403.1985127,59.595026,-18.7331973,395.398105,58.022528,-104.80524,Measured,86.5,"DESI-4881, DESI-3543",,181.33809649071634,-365.03772735078087,-18.7331973,1482,1825.788,748.54
3892,9,9,534,FIF,3,367.3083532,177.6255044,-18.8552096,359.812661,172.809975,-104.759067,Measured,86.5,"DESI-4890, DESI-3543",,-192.83298190117608,-359.58475948130655,-18.8552096,9534,4181.857,770.402
3893,9,9,534,FIF,4,367.6864501,176.7025578,-18.8254569,359.812661,172.809975,-104.759067,Measured,86.5,"DESI-4890, DESI-3543",,-193.68129611991947,-359.0602114105647,-18.8254569,9534,4187.22,773.634
3890,9,9,534,FIF,1,366.7011039,176.5923566,-18.7327222,359.812661,172.809975,-104.759067,Measured,86.5,"DESI-4890, DESI-3543",,-192.9488235726506,-358.39197836301815,-18.7327222,9534,4182.88,777.441
3891,9,9,534,FIF,2,368.0747909,175.7780834,-18.8311694,359.812661,172.809975,-104.759067,Measured,86.5,"DESI-4890, DESI-3543",,-194.53879645734756,-358.54044736360623,-18.8311694,9534,4192.623,776.852
3884,9,9,496,FIF,3,330.4749053,186.6777351,-16.2115306,324.22677000000004,181.965844,-102.21639499999999,Measured,86.5,"DESI-4890, DESI-3543",,-157.71149906605615,-345.2624968000675,-16.2115306,9496,3966.634,849.904
1142,4,0,541,GIF,3,295.185592,208.1997939,-14.7275322,,,,Measured,,DESI-4900,,106.76614724063762,-345.08021241615575,-14.7275322,541,2290.1,852.714
1143,4,0,541,GIF,4,295.2722932,207.204935,-14.6429295,,,,Measured,,DESI-4900,,105.79328185826287,-344.8548365594907,-14.6429295,541,2296.212,853.926
3885,9,9,496,FIF,4,330.7278823,185.7104496,-16.1709345,324.22677000000004,181.965844,-102.21639499999999,Measured,86.5,"DESI-4890, DESI-3543",,-158.48463693485215,-344.62854377588286,-16.1709345,9496,3971.628,853.754
1141,4,0,541,GIF,2,295.359704,206.2095696,-14.6046741,,,,Measured,,DESI-4900,,104.81971527143159,-344.6299787633628,-14.6046741,541,2302.335,855.126
3882,9,9,496,FIF,1,329.7344108,185.7389947,-16.1014989,324.22677000000004,181.965844,-102.21639499999999,Measured,86.5,"DESI-4890, DESI-3543",,-157.66405158209747,-344.06779416786634,-16.1014989,9496,3966.618,856.959
3883,9,9,496,FIF,2,330.9884906,184.7443022,-16.1528114,324.22677000000004,181.965844,-102.21639499999999,Measured,86.5,"DESI-4890, DESI-3543",,-159.26328038720027,-343.99999635629456,-16.1528114,9496,3976.636,857.606
1140,4,0,541,GIF,1,294.2946198,207.4039401,-14.6068751,,,,Measured,,DESI-4900,,106.28502633135719,-343.98671463252725,-14.6068751,541,2293.062,859.175
3896,9,9,541,GIF,3,295.7062328,208.5471802,-14.8896448,,,,Measured,,DESI-4890,,-116.72816468170048,-342.52397180762017,-14.8896448,9541,3709.692,861.446
3897,9,9,541,GIF,4,295.5376212,207.5616256,-14.797801,,,,Measured,,DESI-4890,,-117.17093497620307,-341.6274774085625,-14.797801,9541,3712.597,866.851
3894,9,9,541,GIF,1,294.6414883,208.0047568,-14.7633569,,,,Measured,,DESI-4890,,-116.1854607645949,-341.4593702607934,-14.7633569,9541,3706.442,867.739
