device_location_id,device_type,X,Y,Z,Q,R,S,FLAT_X,FLAT_Y
0,POS,28.134375,5.201437,-0.082419,10.474479,0.252067,-10.474479,28.13453064,5.201465775
1,POS,38.551296,5.201448,-0.152664,7.684102,0.34304,-7.684102,38.55169237,5.201501479
2,POS,33.343493,14.253354,-0.132583,23.14527,0.319697,-23.14527,33.34379089,14.25348134
3,POS,48.968106,5.201461,-0.245266,6.063302,0.434737,-6.063302,48.96891771,5.201547221
4,POS,43.760371,14.255653,-0.214058,18.043862,0.406151,-18.043862,43.76100335,14.255859
5,POS,59.38481,5.20148,-0.360537,5.005728,0.52714,-5.005728,59.38626411,5.201607365
6,POS,54.177144,14.256291,-0.318053,14.74272,0.495072,-14.74272,54.17831262,14.25659851
7,POS,48.967142,23.345351,-0.298069,25.489726,0.479257,-25.489726,48.96813058,23.34582231
8,POS,69.800289,5.201506,-0.498824,4.261795,0.620367,-4.261795,69.80266477,5.201683042
9,POS,64.592763,14.249463,-0.444873,12.440458,0.585716,-12.440458,64.59472035,14.2498948
10,POS,59.383858,23.337718,-0.413611,21.454711,0.564695,-21.454711,59.38552886,23.33837464
11,FIF,54.182759,32.395574,-0.404797,30.874971,0.558629,-30.874971,54.18425056,32.39646579
12,POS,80.215689,5.20154,-0.660539,3.710118,0.714589,-3.710118,80.21932482,5.201775763
13,POS,75.008287,14.241437,-0.594928,10.750493,0.677869,-10.750493,75.01134201,14.24201704
14,POS,69.800405,23.299254,-0.552079,18.45892,0.652831,-18.45892,69.80303924,23.30013331
15,POS,64.599448,32.359504,-0.531959,26.607453,0.640752,-26.607453,64.6017958,32.36068007
16,POS,90.630976,5.201583,-0.846101,3.284773,0.809963,-3.284773,90.63626867,5.201886762
17,POS,85.423703,14.236912,-0.768639,9.46208,0.77149,-9.46208,85.4282244,14.23766555
18,POS,80.215599,23.295915,-0.714161,16.194157,0.743325,-16.194157,80.21953695,23.29705865
19,POS,75.016034,32.323704,-0.682426,23.310756,0.726448,-23.310756,75.01954903,32.32521859
20,POS,69.786205,41.395803,-0.673227,30.675584,0.721486,-30.675584,69.78943016,41.3977161
21,POS,101.046105,5.201632,-1.055932,2.94686,0.906614,-2.94686,101.0535153,5.202013466
