# Echo 22 focal plane parameters from Figure 7 of DESI-0329v3.							
# The plate scale varies with radius, and is different in the							
# meridional (radial) direction vs. the							
# sagittal (tangential/azimuthal) direction.  The table below						
# contains the F/#, Focal Length, and Plate Scale vs. radius for							
# both the meridional and sagittal orientations at that radius.							
							
# Columns:							
# - Radius : radius from center of focal plane [mm]							
# - Theta radial angle that has a centroid at this radius [deg]							
# - MF/# : Meridional F/#							
# - SF/# : Sagittal F/#							
# - MFL  : Meridional focal length [m]							
# - SFL  : Sagittal focal length [m]							
# - MPS  : Meridional plate scale [um/arcsec]							
# - SPS  : Sagittal plate scale [um/arcsec]							
# Radius	Theta	MF/#	SF/#	MFL	SFL	MPS	SPS
0	0	3.678707383	3.678707457	13.92433205	13.92433205	67.50706676	67.50706676
1	0.004114797	3.678711788	3.678708901	13.92436237	13.92435007	67.50721377	67.50715416
2	0.008229587	3.678720064	3.678711613	13.92439741	13.92436934	67.50738368	67.50724758
3	0.012344363	3.678735414	3.678716643	13.92444191	13.92439109	67.50759941	67.50735303
4	0.016459119	3.678757789	3.678723975	13.92450059	13.92441657	67.50788388	67.50747655
5	0.020573847	3.678786298	3.678733317	13.92457817	13.92444701	67.50825998	67.50762415
6	0.024688541	3.678820901	3.678744656	13.92467937	13.92448367	67.50875064	67.50780184
7	0.028803193	3.678861846	3.678758073	13.92480893	13.92452777	67.50937876	67.50801565
8	0.032917798	3.678909157	3.678773577	13.92497157	13.92458056	67.51016726	67.5082716
9	0.037032347	3.678962768	3.678791144	13.92517082	13.92464304	67.51113325	67.50857451
10	0.041146835	3.679022666	3.678810771	13.92540515	13.92471514	67.51226932	67.50892405
11	0.045261253	3.679088871	3.678832465	13.92567169	13.92479651	67.51356154	67.50931856
12	0.049375595	3.679161386	3.678856226	13.92596756	13.92488682	67.51499596	67.50975637
13	0.053489855	3.679240206	3.678882052	13.92628989	13.92498571	67.51655864	67.5102358
14	0.057604023	3.67932533	3.678909943	13.92663579	13.92509284	67.51823565	67.51075519
15	0.061718095	3.67941676	3.678939899	13.92700241	13.92520787	67.52001305	67.51131285
16	0.065832062	3.679514496	3.678971921	13.92738685	13.92533044	67.52187689	67.51190713
17	0.069945918	3.679618536	3.679006008	13.92778692	13.92546029	67.52381645	67.51253666
18	0.074059655	3.679728881	3.679042159	13.92820338	13.92559743	67.52583554	67.51320153
19	0.078173268	3.679845531	3.679080375	13.92863788	13.92574196	67.52794204	67.51390222
20	0.082286748	3.679968487	3.679120655	13.92909204	13.92589398	67.53014385	67.51463923
21	0.086400089	3.680097747	3.679162999	13.92956749	13.92605359	67.53244889	67.51541304
22	0.090513284	3.680233312	3.679207407	13.93006585	13.92622089	67.53486504	67.51622414
23	0.094626326	3.680375182	3.679253879	13.93058877	13.92639598	67.5374002	67.51707301
24	0.098739208	3.680523356	3.679302414	13.93113786	13.92657897	67.54006228	67.51796015
25	0.102851924	3.680677835	3.679353012	13.93171443	13.92676993	67.54285756	67.51888596
26	0.106964466	3.680838618	3.679405673	13.93231816	13.92696887	67.54578453	67.51985045
27	0.111076827	3.681005706	3.679460397	13.93294825	13.92717576	67.54883932	67.5208535
28	0.115189	3.681179098	3.679517183	13.93360392	13.92739059	67.55201805	67.52189498
29	0.119300979	3.681358794	3.679576031	13.93428434	13.92761331	67.55531686	67.52297479
30	0.123412755	3.681544793	3.67963694	13.93498874	13.92784392	67.55873187	67.5240928
