  672  ,   rays      DESI-ADC-2.RAY    672 rays = 8 wavels, 84 pupil locations
 X0        , Y0        , Z0    ,U0east ,V0south ,@wave , Xgoal  ,  Ygoal ,XfEast ,YfSouth ,notes ,
 755       , 0         , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.015,  0.0000, OK26 ,
 654.022   , 377.600   , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.014,  0.0038, OK26 ,
 377.600   , 654.022   , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.011,  0.0066, OK26 ,
 0.000     , 755.200   , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,       ,        , bak22,
 -377.600  , 654.022   , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.004,  0.0068, OK26 ,
 -654.022  , 377.600   , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.001,  0.0039, OK26 ,
 -755.200  , 0.000     , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001, -0.000,  0.0000, OK26 ,
 -654.022  , -377.600  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.001, -0.0039, OK26 ,
 -377.600  , -654.022  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.004, -0.0068, OK26 ,
 -0.000    , -755.200  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,       ,        , bak22,
 377.600   , -654.022  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.011, -0.0066, OK26 ,
 654.022   , -377.600  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.014, -0.0038, OK26 ,
 1115.590  , 196.709   , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,       ,        , bak 8,
 981.034   , 566.400   , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.019,  0.0067, OK26 ,
 728.150   , 867.775   , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.016,  0.0104, OK26 ,
 387.440   , 1064.484  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,       ,        , bak22,
 0.000     , 1132.800  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,       ,        , bak22,
 -387.440  , 1064.484  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.003,  0.0131, OK26 ,
 -728.150  , 867.775   , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001, -0.002,  0.0108, OK26 ,
 -981.034  , 566.400   , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001, -0.005,  0.0071, OK26 ,
 -1115.590 , 196.709   , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,       ,        , bak 8,
 -1115.590 , -196.709  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001, -0.007, -0.0025, OK26 ,
 -981.034  , -566.400  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001, -0.005, -0.0071, OK26 ,
 -728.150  , -867.775  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001, -0.002, -0.0108, OK26 ,
 -387.440  , -1064.484 , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.003, -0.0131, OK26 ,
 -0.000    , -1132.800 , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,       ,        , bak22,
 387.440   , -1064.484 , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,       ,        , bak22,
 728.150   , -867.775  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.016, -0.0104, OK26 ,
 981.034   , -566.400  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.019, -0.0067, OK26 ,
 1115.590  , -196.709  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.021, -0.0023, OK26 ,
 1510.400  , 0.000     , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.019,  0.0000, OK26 ,
 1458.934  , 390.920   , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,       ,        , bak 8,
 1308.045  , 755.200   , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.017,  0.0057, OK26 ,
 1068.014  , 1068.014  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.015,  0.0081, OK26 ,
 755.200   , 1308.045  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.013,  0.0100, OK26 ,
 390.920   , 1458.934  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,       ,        , bak 8,
 0.000     , 1510.400  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,       ,        , bak22,
 -390.920  , 1458.934  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.004,  0.0117, OK26 ,
 -755.200  , 1308.045  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.001,  0.0107, OK26 ,
 -1068.014 , 1068.014  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001, -0.002,  0.0088, OK26 ,
 -1308.045 , 755.200   , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001, -0.004,  0.0063, OK26 ,
 -1458.934 , 390.920   , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,       ,        , bak 8,
 -1510.400 , 0.000     , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001, -0.005,  0.0000, OK26 ,
 -1458.934 , -390.920  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001, -0.005, -0.0033, OK26 ,
 -1308.045 , -755.200  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001, -0.004, -0.0063, OK26 ,
 -1068.014 , -1068.014 , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001, -0.002, -0.0088, OK26 ,
 -755.200  , -1308.045 , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.001, -0.0107, OK26 ,
 -390.920  , -1458.934 , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.004, -0.0117, OK26 ,
 -0.000    , -1510.400 , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,       ,        , bak22,
