  672      ,  rays DESI-ADC.RAY                      672 rays  = 8 wavels * 84/pupil   double retro
    X0     ,  Y0       , Z0     ,  U0east  , V0south , @wave  , Xgoal   , Ygoal  , XfEast  ,  YfSouth  ,  notes ,  
 755       , 0         , 11000  ,  0.      ,   0     ,   R    ,   0.0069,   0.000,    0.021,      0.000, OK26   ,
    654.022,    377.600, 11000  ,  0.      ,   0     ,   R    ,   0.0069,   0.000,    0.019,      0.007, OK26   ,
    377.600,    654.022, 11000  ,  0.      ,   0     ,   R    ,   0.0069,   0.000,    0.014,      0.011, OK26   ,
      0.000,    755.200, 11000  ,  0.      ,   0     ,   R    ,   0.0069,   0.000,    0.008,      0.013, OK26   ,
   -377.600,    654.022, 11000  ,  0.      ,   0     ,   R    ,   0.0069,   0.000,    0.001,      0.012, OK26   ,
   -654.022,    377.600, 11000  ,  0.      ,   0     ,   R    ,   0.0069,   0.000,   -0.004,      0.007, OK26   ,
   -755.200,      0.000, 11000  ,  0.      ,   0     ,   R    ,   0.0069,   0.000,   -0.006,      0.000, OK26   ,
   -654.022,   -377.600, 11000  ,  0.      ,   0     ,   R    ,   0.0069,   0.000,   -0.004,     -0.007, OK26   ,
   -377.600,   -654.022, 11000  ,  0.      ,   0     ,   R    ,   0.0069,   0.000,    0.001,     -0.012, OK26   ,
     -0.000,   -755.200, 11000  ,  0.      ,   0     ,   R    ,   0.0069,   0.000,    0.008,     -0.013, OK26   ,
    377.600,   -654.022, 11000  ,  0.      ,   0     ,   R    ,   0.0069,   0.000,    0.014,     -0.011, OK26   ,
    654.022,   -377.600, 11000  ,  0.      ,   0     ,   R    ,   0.0069,   0.000,    0.019,     -0.007, OK26   ,
   1115.590,    196.709, 11000  ,  0.      ,   0     ,   R    ,   0.0069,   0.000,    0.029,      0.004, OK26   ,
    981.034,    566.400, 11000  ,  0.      ,   0     ,   R    ,   0.0069,   0.000,    0.026,      0.011, OK26   ,
